x_rel,y_rel
1.6700000000e+08,0.0000000000e+00
-1.9359743191e+09,-5.6672786311e+07
-5.0622663010e+09,-1.9560195811e+08
-8.1800701442e+09,-3.3421360191e+08
-1.1295022254e+10,-4.7270913144e+08
-1.4408537390e+10,-6.1114412731e+08
-1.7521188862e+10,-7.4954183711e+08
-2.0633267231e+10,-8.8791419812e+08
-2.3744940874e+10,-1.0262681524e+09
-2.6856316653e+10,-1.1646080924e+09
-2.9967467061e+10,-1.3029369730e+09
-3.3078443880e+10,-1.4412568773e+09
-3.6189285670e+10,-1.5795693298e+09
-3.9300022154e+10,-1.7178754809e+09
-4.2410676929e+10,-1.8561762217e+09
-4.5521269217e+10,-1.9944722581e+09
-4.8631815035e+10,-2.1327641613e+09
-5.1742327998e+10,-2.2710524019e+09
-5.4852819891e+10,-2.4093373744e+09
-5.7963301085e+10,-2.5476194155e+09
-6.1073780837e+10,-2.6858988171e+09
-6.4184267527e+10,-2.8241758362e+09
-6.7294768825e+10,-2.9624507027e+09
-7.0405291832e+10,-3.1007236255e+09
-7.3515843186e+10,-3.2389947969e+09
-7.6626429145e+10,-3.3772643967e+09
-7.9737055656e+10,-3.5155325951e+09
-8.2847728412e+10,-3.6537995555e+09
-8.5958452894e+10,-3.7920654361e+09
-8.9069234408e+10,-3.9303303921e+09
-9.2180078120e+10,-4.0685945768e+09
-9.5290989078e+10,-4.2068581432e+09
-9.8401972236e+10,-4.3451212452e+09
-1.0151303247e+11,-4.4833840379e+09
-1.0462417461e+11,-4.6216466791e+09
-1.0773540341e+11,-4.7599093301e+09
-1.1084672362e+11,-4.8981721558e+09
-1.1395813996e+11,-5.0364353258e+09
-1.1706965713e+11,-5.1746990148e+09
-1.2018127982e+11,-5.3129634033e+09
-1.2329301272e+11,-5.4512286779e+09
-1.2640486056e+11,-5.5894950320e+09
-1.2951682804e+11,-5.7277626658e+09
-1.3262891990e+11,-5.8660317874e+09
-1.3574114092e+11,-6.0043026127e+09
-1.3885349587e+11,-6.1425753660e+09
-1.4196598959e+11,-6.2808502806e+09
-1.4507862693e+11,-6.4191275987e+09
-1.4819141281e+11,-6.5574075723e+09
-1.5130435215e+11,-6.6956904633e+09
-1.5441744997e+11,-6.8339765440e+09
-1.5753071130e+11,-6.9722660976e+09
-1.6064414124e+11,-7.1105594184e+09
-1.6375774493e+11,-7.2488568122e+09
-1.6687152760e+11,-7.3871585970e+09
-1.6998549451e+11,-7.5254651030e+09
-1.7309965100e+11,-7.6637766735e+09
-1.7621400247e+11,-7.8020936650e+09
-1.7932855440e+11,-7.9404164475e+09
-1.8244331232e+11,-8.0787454056e+09
-1.8555828185e+11,-8.2170809382e+09
-1.8867346868e+11,-8.3554234596e+09
-1.9178887859e+11,-8.4937733994e+09
-1.9490451743e+11,-8.6321312036e+09
-1.9802039113e+11,-8.7704973347e+09
-2.0113650571e+11,-8.9088722725e+09
-2.0425286729e+11,-9.0472565144e+09
-2.0736948206e+11,-9.1856505761e+09
-2.1048635631e+11,-9.3240549924e+09
-2.1360349645e+11,-9.4624703173e+09
-2.1672090894e+11,-9.6008971250e+09
-2.1983860039e+11,-9.7393360106e+09
-2.2295657749e+11,-9.8777875905e+09
-2.2607484702e+11,-1.0016252503e+10
-2.2919341590e+11,-1.0154731410e+10
-2.3231229115e+11,-1.0293224997e+10
-2.3543147990e+11,-1.0431733971e+10
-2.3855098939e+11,-1.0570259069e+10
-2.4167082701e+11,-1.0708801050e+10
-2.4479100024e+11,-1.0847360701e+10
-2.4791151670e+11,-1.0985938838e+10
-2.5103238414e+11,-1.1124536304e+10
-2.5415361044e+11,-1.1263153972e+10
-2.5727520363e+11,-1.1401792745e+10
-2.6039717186e+11,-1.1540453559e+10
-2.6351952344e+11,-1.1679137382e+10
-2.6664226680e+11,-1.1817845215e+10
-2.6976541055e+11,-1.1956578093e+10
-2.7288896344e+11,-1.2095337091e+10
-2.7601293438e+11,-1.2234123317e+10
-2.7913733244e+11,-1.2372937920e+10
-2.8226216686e+11,-1.2511782088e+10
-2.8538744705e+11,-1.2650657050e+10
-2.8851318260e+11,-1.2789564079e+10
-2.9163938326e+11,-1.2928504492e+10
-2.9476605898e+11,-1.3067479649e+10
-2.9789321991e+11,-1.3206490962e+10
-3.0102087636e+11,-1.3345539889e+10
-3.0414903886e+11,-1.3484627940e+10
-3.0727771816e+11,-1.3623756676e+10
-3.1040692518e+11,-1.3762927716e+10
-3.1353667109e+11,-1.3902142733e+10
-3.1666696727e+11,-1.4041403459e+10
-3.1979782531e+11,-1.4180711687e+10
-3.2292925705e+11,-1.4320069274e+10
-3.2606127457e+11,-1.4459478142e+10
-3.2919389019e+11,-1.4598940281e+10
-3.3232711649e+11,-1.4738457750e+10
-3.3546096629e+11,-1.4878032684e+10
-3.3859545270e+11,-1.5017667292e+10
-3.4173058908e+11,-1.5157363863e+10
-3.4486638911e+11,-1.5297124766e+10
-3.4800286671e+11,-1.5436952458e+10
-3.5114003614e+11,-1.5576849482e+10
-3.5427791194e+11,-1.5716818475e+10
-3.5741650899e+11,-1.5856862169e+10
-3.6055584246e+11,-1.5996983395e+10
-3.6369592788e+11,-1.6137185088e+10
-3.6683678113e+11,-1.6277470290e+10
-3.6997841843e+11,-1.6417842156e+10
-3.7312085635e+11,-1.6558303958e+10
-3.7626411187e+11,-1.6698859088e+10
-3.7940820234e+11,-1.6839511065e+10
-3.8255314550e+11,-1.6980263542e+10
-3.8569895951e+11,-1.7121120307e+10
-3.8884566296e+11,-1.7262085292e+10
-3.9199327487e+11,-1.7403162579e+10
-3.9514181470e+11,-1.7544356405e+10
-3.9829130240e+11,-1.7685671171e+10
-4.0144175839e+11,-1.7827111447e+10
-4.0459320356e+11,-1.7968681979e+10
-4.0774565934e+11,-1.8110387701e+10
-4.1089914768e+11,-1.8252233738e+10
-4.1405369108e+11,-1.8394225418e+10
-4.1720931259e+11,-1.8536368282e+10
-4.2036603584e+11,-1.8678668088e+10
-4.2352388508e+11,-1.8821130830e+10
-4.2668288516e+11,-1.8963762740e+10
-4.2984306158e+11,-1.9106570306e+10
-4.3300444051e+11,-1.9249560279e+10
-4.3616704880e+11,-1.9392739691e+10
-4.3933091400e+11,-1.9536115862e+10
-4.4249606442e+11,-1.9679696420e+10
-4.4566252910e+11,-1.9823489311e+10
-4.4883033790e+11,-1.9967502818e+10
-4.5199952147e+11,-2.0111745578e+10
-4.5517011133e+11,-2.0256226595e+10
-4.5834213984e+11,-2.0400955266e+10
-4.6151564032e+11,-2.0545941393e+10
-4.6469064697e+11,-2.0691195210e+10
-4.6786719502e+11,-2.0836727403e+10
-4.7104532068e+11,-2.0982549132e+10
-4.7422506123e+11,-2.1128672059e+10
-4.7740645503e+11,-2.1275108373e+10
-4.8058954157e+11,-2.1421870818e+10
-4.8377436153e+11,-2.1568972725e+10
-4.8696095680e+11,-2.1716428040e+10
-4.9014937054e+11,-2.1864251363e+10
-4.9333964724e+11,-2.2012457980e+10
-4.9653183276e+11,-2.2161063904e+10
-4.9972597438e+11,-2.2310085917e+10
-5.0292212086e+11,-2.2459541610e+10
-5.0612032253e+11,-2.2609449434e+10
-5.0932063130e+11,-2.2759828749e+10
-5.1252310077e+11,-2.2910699875e+10
-5.1572778629e+11,-2.3062084152e+10
-5.1893474501e+11,-2.3214004001e+10
-5.2214403599e+11,-2.3366482987e+10
-5.2535572027e+11,-2.3519545894e+10
-5.2856986091e+11,-2.3673218794e+10
-5.3178652317e+11,-2.3827529133e+10
-5.3500577452e+11,-2.3982505816e+10
-5.3822768478e+11,-2.4138179298e+10
-5.4145232620e+11,-2.4294581687e+10
-5.4467977359e+11,-2.4451746850e+10
-5.4791010441e+11,-2.4609710529e+10
-5.5114339892e+11,-2.4768510466e+10
-5.5437974028e+11,-2.4928186537e+10
-5.5761921466e+11,-2.5088780898e+10
-5.6086191145e+11,-2.5250338140e+10
-5.6410792333e+11,-2.5412905460e+10
-5.6735734644e+11,-2.5576532840e+10
-5.7061028059e+11,-2.5741273252e+10
-5.7386682934e+11,-2.5907182862e+10
-5.7712710026e+11,-2.6074321270e+10
-5.8039120504e+11,-2.6242751759e+10
-5.8365925974e+11,-2.6412541565e+10
-5.8693138494e+11,-2.6583762177e+10
-5.9020770599e+11,-2.6756489654e+10
-5.9348835319e+11,-2.6930804979e+10
-5.9677346207e+11,-2.7106794438e+10
-6.0006317353e+11,-2.7284550031e+10
-6.0335763420e+11,-2.7464169929e+10
-6.0665699658e+11,-2.7645758960e+10
-6.0996141939e+11,-2.7829429148e+10
-6.1327106776e+11,-2.8015300300e+10
-6.1658611353e+11,-2.8203500640e+10
-6.1990673554e+11,-2.8394167513e+10
-6.2323311987e+11,-2.8587448145e+10
-6.2656546011e+11,-2.8783500478e+10
-6.2990395768e+11,-2.8982494082e+10
-6.3324882200e+11,-2.9184611155e+10
-6.3660027081e+11,-2.9390047610e+10
-6.3995853035e+11,-2.9599014275e+10
-6.4332383558e+11,-2.9811738195e+10
-6.4669643030e+11,-3.0028464061e+10
-6.5007656729e+11,-3.0249455767e+10
-6.5346450833e+11,-3.0474998115e+10
-6.5686052419e+11,-3.0705398669e+10
-6.6026489443e+11,-3.0940989774e+10
-6.6367790720e+11,-3.1182130753e+10
-6.6709985879e+11,-3.1429210283e+10
-6.7053105301e+11,-3.1682648970e+10
-6.7397180038e+11,-3.1942902110e+10
-6.7742241699e+11,-3.2210462656e+10
-6.8088322308e+11,-3.2485864378e+10
-6.8435454118e+11,-3.2769685200e+10
-6.8783669382e+11,-3.3062550695e+10
-6.9133000066e+11,-3.3365137714e+10
-6.9483477505e+11,-3.3678178071e+10
-6.9835131973e+11,-3.4002462240e+10
-7.0187992184e+11,-3.4338842942e+10
-7.0542084684e+11,-3.4688238495e+10
-7.0897433148e+11,-3.5051635759e+10
-7.1254057556e+11,-3.5430092451e+10
-7.1611973249e+11,-3.5824738569e+10
-7.1971189856e+11,-3.6236776592e+10
-7.2331710102e+11,-3.6667480084e+10
-7.2693528491e+11,-3.7118190268e+10
-7.3056629899e+11,-3.7590310103e+10
-7.3420988102e+11,-3.8085295374e+10
-7.3786564282e+11,-3.8604642330e+10
-7.4153305589e+11,-3.9149871463e+10
-7.4521143830e+11,-3.9722507172e+10
-7.4889994386e+11,-4.0324053242e+10
-7.5259755487e+11,-4.0955964370e+10
-7.5630307933e+11,-4.1619614336e+10
-7.6001515402e+11,-4.2316261830e+10
-7.6373225418e+11,-4.3047015362e+10
-7.6745271040e+11,-4.3812799078e+10
-7.7117473278e+11,-4.4614321548e+10
-7.7489644180e+11,-4.5452049655e+10
-7.7861590459e+11,-4.6326189590e+10
-7.8233117495e+11,-4.7236676485e+10
-7.8604033478e+11,-4.8183173654e+10
-7.8974153458e+11,-4.9165081582e+10
-7.9343303053e+11,-5.0181556058e+10
-7.9711321636e+11,-5.1231534070e+10
-8.0078064831e+11,-5.2313765607e+10
-8.0443406263e+11,-5.3426849153e+10
-8.0807238515e+11,-5.4569268690e+10
-8.1169473379e+11,-5.5739430142e+10
-8.1530041449e+11,-5.6935695612e+10
-8.1888891210e+11,-5.8156414153e+10
-8.2245987726e+11,-5.9399948310e+10
-8.2601311079e+11,-6.0664696068e+10
-8.2954854656e+11,-6.1949108211e+10
-8.3306623390e+11,-6.3251701343e+10
-8.3656632040e+11,-6.4571067013e+10
-8.4004903547e+11,-6.5905877460e+10
-8.4351467528e+11,-6.7254888548e+10
-8.4696358904e+11,-6.8616940423e+10
-8.5039616693e+11,-6.9990956418e+10
-8.5381282958e+11,-7.1375940625e+10
-8.5721401907e+11,-7.2770974535e+10
-8.6060019125e+11,-7.4175213036e+10
-8.6397180946e+11,-7.5587880047e+10
-8.6732933924e+11,-7.7008263948e+10
-8.7067324409e+11,-7.8435712995e+10
-8.7400398215e+11,-7.9869630794e+10
-8.7732200345e+11,-8.1309471934e+10
-8.8062774794e+11,-8.2754737818e+10
-8.8392164392e+11,-8.4204972742e+10
-8.8720410692e+11,-8.5659760214e+10
-8.9047553901e+11,-8.7118719547e+10
-8.9373632827e+11,-8.8581502706e+10
-8.9698684857e+11,-9.0047791405e+10
-9.0022745954e+11,-9.1517294457e+10
-9.0345850662e+11,-9.2989745338e+10
-9.0668032131e+11,-9.4464899976e+10
-9.0989322141e+11,-9.5942534736e+10
-9.1309751145e+11,-9.7422444585e+10
-9.1629348301e+11,-9.8904441428e+10
-9.1948141520e+11,-1.0038835260e+11
-9.2266157514e+11,-1.0187401949e+11
-9.2583421836e+11,-1.0336129631e+11
-9.2899958936e+11,-1.0485004896e+11
-9.3215792200e+11,-1.0634015401e+11
-9.3530944002e+11,-1.0783149776e+11
-9.3845435748e+11,-1.0932397544e+11
-9.4159287919e+11,-1.1081749040e+11
-9.4472520117e+11,-1.1231195347e+11
-9.4785151105e+11,-1.1380728226e+11
-9.5097198847e+11,-1.1530340067e+11
-9.5408680546e+11,-1.1680023832e+11
-9.5719612683e+11,-1.1829773009e+11
-9.6030011047e+11,-1.1979581571e+11
-9.6339890777e+11,-1.2129443934e+11
-9.6649266384e+11,-1.2279354922e+11
-9.6958151789e+11,-1.2429309737e+11
-9.7266560347e+11,-1.2579303925e+11
-9.7574504878e+11,-1.2729333354e+11
-9.7881997689e+11,-1.2879394186e+11
-9.8189050602e+11,-1.3029482852e+11
-9.8495674977e+11,-1.3179596039e+11
-9.8801881731e+11,-1.3329730662e+11
-9.9107681361e+11,-1.3479883853e+11
-9.9413083967e+11,-1.3630052941e+11
-9.9718099263e+11,-1.3780235442e+11
-1.0002273660e+12,-1.3930429041e+11
-1.0032700500e+12,-1.4080631579e+11
-1.0063091311e+12,-1.4230841047e+11
-1.0093446932e+12,-1.4381055571e+11
-1.0123768166e+12,-1.4531273404e+11
-1.0154055793e+12,-1.4681492915e+11
-1.0184310560e+12,-1.4831712586e+11
-1.0214533192e+12,-1.4981930996e+11
-1.0244724387e+12,-1.5132146823e+11
-1.0274884820e+12,-1.5282358832e+11
-1.0305015140e+12,-1.5432565868e+11
-1.0335115979e+12,-1.5582766856e+11
-1.0365187944e+12,-1.5732960792e+11
-1.0395231623e+12,-1.5883146736e+11
-1.0425247586e+12,-1.6033323813e+11
-1.0455236382e+12,-1.6183491206e+11
-1.0485198545e+12,-1.6333648153e+11
-1.0515134591e+12,-1.6483793939e+11
-1.0545045018e+12,-1.6633927902e+11
-1.0574930311e+12,-1.6784049422e+11
-1.0604790938e+12,-1.6934157918e+11
-1.0634627354e+12,-1.7084252854e+11
-1.0664440000e+12,-1.7234333724e+11
-1.0694229302e+12,-1.7384400062e+11
-1.0723995675e+12,-1.7534451429e+11
-1.0753739522e+12,-1.7684487420e+11
-1.0783461233e+12,-1.7834507657e+11
-1.0813161187e+12,-1.7984511787e+11
-1.0842839752e+12,-1.8134499483e+11
-1.0872497285e+12,-1.8284470442e+11
-1.0902134134e+12,-1.8434424381e+11
-1.0931750636e+12,-1.8584361039e+11
-1.0961347121e+12,-1.8734280173e+11
-1.0990923906e+12,-1.8884181560e+11
-1.1020481302e+12,-1.9034064993e+11
-1.1050019612e+12,-1.9183930279e+11
-1.1079539129e+12,-1.9333777244e+11
-1.1109040138e+12,-1.9483605724e+11
-1.1138522919e+12,-1.9633415571e+11
-1.1167987743e+12,-1.9783206648e+11
-1.1197434873e+12,-1.9932978831e+11
-1.1226864566e+12,-2.0082732006e+11
-1.1256277073e+12,-2.0232466069e+11
-1.1285672639e+12,-2.0382180928e+11
-1.1315051501e+12,-2.0531876496e+11
-1.1344413891e+12,-2.0681552699e+11
-1.1373760036e+12,-2.0831209468e+11
-1.1403090157e+12,-2.0980846744e+11
-1.1432404467e+12,-2.1130464473e+11
-1.1461703179e+12,-2.1280062608e+11
-1.1490986496e+12,-2.1429641110e+11
-1.1520254619e+12,-2.1579199944e+11
-1.1549507743e+12,-2.1728739082e+11
-1.1578746060e+12,-2.1878258501e+11
-1.1607969754e+12,-2.2027758181e+11
-1.1637179008e+12,-2.2177238109e+11
-1.1666374001e+12,-2.2326698276e+11
-1.1695554905e+12,-2.2476138676e+11
-1.1724721891e+12,-2.2625559307e+11
-1.1753875124e+12,-2.2774960171e+11
-1.1783014767e+12,-2.2924341274e+11
-1.1812140978e+12,-2.3073702623e+11
-1.1841253913e+12,-2.3223044231e+11
-1.1870353723e+12,-2.3372366112e+11
-1.1899440557e+12,-2.3521668281e+11
-1.1928514559e+12,-2.3670950758e+11
-1.1957575873e+12,-2.3820213565e+11
-1.1986624637e+12,-2.3969456724e+11
-1.2015660987e+12,-2.4118680262e+11
-1.2044685057e+12,-2.4267884205e+11
-1.2073696977e+12,-2.4417068582e+11
-1.2102696876e+12,-2.4566233424e+11
-1.2131684877e+12,-2.4715378762e+11
-1.2160661105e+12,-2.4864504630e+11
-1.2189625678e+12,-2.5013611063e+11
-1.2218578716e+12,-2.5162698095e+11
-1.2247520332e+12,-2.5311765765e+11
-1.2276450641e+12,-2.5460814108e+11
-1.2305369753e+12,-2.5609843165e+11
-1.2334277777e+12,-2.5758852975e+11
-1.2363174820e+12,-2.5907843577e+11
-1.2392060985e+12,-2.6056815013e+11
-1.2420936375e+12,-2.6205767324e+11
-1.2449801092e+12,-2.6354700553e+11
-1.2478655233e+12,-2.6503614741e+11
-1.2507498895e+12,-2.6652509933e+11
-1.2536332174e+12,-2.6801386171e+11
-1.2565155162e+12,-2.6950243499e+11
-1.2593967951e+12,-2.7099081961e+11
-1.2622770630e+12,-2.7247901603e+11
-1.2651563288e+12,-2.7396702467e+11
-1.2680346011e+12,-2.7545484599e+11
-1.2709118884e+12,-2.7694248045e+11
-1.2737881991e+12,-2.7842992848e+11
-1.2766635413e+12,-2.7991719054e+11
-1.2795379231e+12,-2.8140426709e+11
-1.2824113524e+12,-2.8289115857e+11
-1.2852838370e+12,-2.8437786544e+11
-1.2881553845e+12,-2.8586438814e+11
-1.2910260023e+12,-2.8735072713e+11
-1.2938956979e+12,-2.8883688286e+11
-1.2967644785e+12,-2.9032285578e+11
-1.2996323512e+12,-2.9180864633e+11
-1.3024993231e+12,-2.9329425496e+11
-1.3053654009e+12,-2.9477968212e+11
-1.3082305915e+12,-2.9626492824e+11
-1.3110949015e+12,-2.9774999378e+11
-1.3139583375e+12,-2.9923487917e+11
-1.3168209059e+12,-3.0071958484e+11
-1.3196826130e+12,-3.0220411124e+11
-1.3225434650e+12,-3.0368845879e+11
-1.3254034681e+12,-3.0517262792e+11
-1.3282626283e+12,-3.0665661906e+11
-1.3311209516e+12,-3.0814043264e+11
-1.3339784436e+12,-3.0962406907e+11
-1.3368351103e+12,-3.1110752878e+11
-1.3396909573e+12,-3.1259081218e+11
-1.3425459901e+12,-3.1407391968e+11
-1.3454002142e+12,-3.1555685170e+11
-1.3482536349e+12,-3.1703960863e+11
-1.3511062577e+12,-3.1852219089e+11
-1.3539580877e+12,-3.2000459887e+11
-1.3568091300e+12,-3.2148683297e+11
-1.3596593899e+12,-3.2296889357e+11
-1.3625088721e+12,-3.2445078108e+11
-1.3653575817e+12,-3.2593249587e+11
-1.3682055235e+12,-3.2741403834e+11
-1.3710527023e+12,-3.2889540885e+11
-1.3738991227e+12,-3.3037660778e+11
-1.3767447895e+12,-3.3185763551e+11
-1.3795897071e+12,-3.3333849240e+11
-1.3824338801e+12,-3.3481917882e+11
-1.3852773129e+12,-3.3629969513e+11
-1.3881200098e+12,-3.3778004169e+11
-1.3909619753e+12,-3.3926021884e+11
-1.3938032134e+12,-3.4074022695e+11
-1.3966437285e+12,-3.4222006635e+11
-1.3994835246e+12,-3.4369973739e+11
-1.4023226058e+12,-3.4517924040e+11
-1.4051609761e+12,-3.4665857573e+11
-1.4079986395e+12,-3.4813774371e+11
-1.4108355998e+12,-3.4961674465e+11
-1.4136718610e+12,-3.5109557890e+11
-1.4165074268e+12,-3.5257424676e+11
-1.4193423009e+12,-3.5405274855e+11
-1.4221764870e+12,-3.5553108459e+11
-1.4250099889e+12,-3.5700925519e+11
-1.4278428100e+12,-3.5848726065e+11
-1.4306749539e+12,-3.5996510127e+11
-1.4335064241e+12,-3.6144277736e+11
-1.4363372242e+12,-3.6292028921e+11
-1.4391673573e+12,-3.6439763710e+11
-1.4419968270e+12,-3.6587482134e+11
-1.4448256366e+12,-3.6735184220e+11
-1.4476537893e+12,-3.6882869996e+11
-1.4504812883e+12,-3.7030539490e+11
-1.4533081368e+12,-3.7178192730e+11
-1.4561343381e+12,-3.7325829742e+11
-1.4589598951e+12,-3.7473450553e+11
-1.4617848110e+12,-3.7621055190e+11
-1.4646090888e+12,-3.7768643678e+11
-1.4674327315e+12,-3.7916216044e+11
-1.4702557420e+12,-3.8063772312e+11
-1.4730781233e+12,-3.8211312508e+11
-1.4758998782e+12,-3.8358836655e+11
-1.4787210096e+12,-3.8506344780e+11
-1.4815415202e+12,-3.8653836904e+11
-1.4843614130e+12,-3.8801313053e+11
-1.4871806905e+12,-3.8948773250e+11
-1.4899993556e+12,-3.9096217516e+11
-1.4928174109e+12,-3.9243645876e+11
-1.4956348590e+12,-3.9391058352e+11
-1.4984517025e+12,-3.9538454965e+11
-1.5012679441e+12,-3.9685835737e+11
-1.5040835862e+12,-3.9833200691e+11
-1.5068986315e+12,-3.9980549846e+11
-1.5097130823e+12,-4.0127883224e+11
-1.5125269412e+12,-4.0275200845e+11
-1.5153402106e+12,-4.0422502730e+11
-1.5181528929e+12,-4.0569788898e+11
-1.5209649904e+12,-4.0717059369e+11
-1.5237765055e+12,-4.0864314162e+11
-1.5265874406e+12,-4.1011553297e+11
-1.5293977979e+12,-4.1158776791e+11
-1.5322075797e+12,-4.1305984664e+11
-1.5350167882e+12,-4.1453176934e+11
-1.5378254257e+12,-4.1600353619e+11
-1.5406334943e+12,-4.1747514735e+11
-1.5434409963e+12,-4.1894660301e+11
-1.5462479337e+12,-4.2041790334e+11
-1.5490543088e+12,-4.2188904849e+11
